BS,Peak Memory Usage (MB),Throughput (img/sec),Model,Framework
7,5660.72,48.65669293,VIT-L-16,TorchScript
8,6249.86,49.9901325,VIT-L-16,TorchScript
9,6917.54,49.875,VIT-L-16,TorchScript
1,1521.23,36.93505525,VIT-L-16,Nabla
2,1926.371,46.94615276,VIT-L-16,Nabla
3,2279.97,47.22884738,VIT-L-16,Nabla
4,2660.111,48.01920768,VIT-L-16,Nabla
5,3059.991,47.39246649,VIT-L-16,Nabla
6,3371.191,47.34224577,VIT-L-16,Nabla
7,3756.232,48.09492564,VIT-L-16,Nabla
8,4092.082,48.48351152,VIT-L-16,Nabla
9,4487.775929,48.32162876,VIT-L-16,Nabla
10,4855.479024,48.36864648,VIT-L-16,Nabla
11,5223.183119,48.79595969,VIT-L-16,Nabla
12,5590.886214,49.15067631,VIT-L-16,Nabla
13,5958.890778,49.29928649,VIT-L-16,Nabla
14,6327.182611,49.4270871,VIT-L-16,Nabla
15,6695.473444,49.57456759,VIT-L-16,Nabla
16,7063.764278,49.44062567,VIT-L-16,Nabla
17,7432.056111,49.6019444,VIT-L-16,Nabla
18,7800.346944,49.46386665,VIT-L-16,Nabla
