,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252
0,16.0,32.0,48.0,64.0,80.0,96.0,112.0,128.0,144.0,160.0,176.0,192.0,208.0,224.0,240.0,256.0,272.0,288.0,304.0,320.0,336.0,352.0,368.0,384.0,400.0,416.0,432.0,448.0,464.0,480.0,496.0,512.0,528.0,544.0,560.0,576.0,592.0,608.0,624.0,640.0,656.0,672.0,688.0,704.0,720.0,736.0,752.0,768.0,784.0,800.0,816.0,832.0,848.0,864.0,880.0,896.0,912.0,928.0,944.0,960.0,976.0,992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.97,4.94,4.92,4.88,4.82,4.79,4.7700000000000005,4.73,4.67,4.64,4.6000000000000005,4.5600000000000005,4.5,4.47,4.44,4.41,4.3500000000000005,4.32,4.29,4.26,4.2,4.17,4.15,4.12,4.09,4.03,4.01,3.98,3.95,3.89,3.87,3.84,3.81,3.7800000000000002,3.73,3.7,3.67,3.64,3.59,3.56,3.5300000000000002,3.5,3.48,3.43,3.4,3.37,3.35,3.3200000000000003,3.27,3.24,3.21,3.19,3.16,3.11,3.08,3.06,3.0300000000000002,3.0100000000000002,2.95,2.93,2.9,2.87,2.85,2.83,2.7800000000000002,2.75,2.73,2.7,2.68,2.63,2.61,2.58,2.56,2.54,2.49,2.46,2.44,2.42,2.4,2.37,2.32,2.3000000000000003,2.2800000000000002,2.2600000000000002,2.23,2.21,2.17,2.14,2.12,2.1,2.08,2.06,2.01,1.99,1.97,1.95,1.93,1.9100000000000001,1.8900000000000001,1.84,1.82,1.8,1.78,1.77,1.75,1.7,1.68,1.6600000000000001,1.6400000000000001,1.62,1.61,1.59,1.54,1.52,1.51,1.49,1.47,1.45,1.44,1.42,1.3800000000000001,1.36,1.34,1.32,1.31,1.29,1.27,1.26,1.22,1.2,1.18,1.17,1.1500000000000001,1.1400000000000001,1.12,1.1,1.06,1.05,1.03,1.02,1.0,0.989,0.975,0.9590000000000001,0.9470000000000001,0.906,0.892,0.879,0.865,0.852,0.839,0.8250000000000001,0.812,0.799,0.761,0.748,0.735,0.723,0.71,0.6980000000000001,0.686,0.673,0.662,0.65,0.638,0.601,0.59,0.578,0.5670000000000001,0.556,0.545,0.535,0.524,0.513,0.503,0.493,0.482,0.447,0.437,0.427,0.418,0.40800000000000003,0.399,0.39,0.381,0.372,0.363,0.354,0.34500000000000003,0.337,0.329,0.32,0.28700000000000003,0.279,0.271,0.263,0.256,0.248,0.241,0.234,0.227,0.22,0.213,0.20600000000000002,0.2,0.194,0.187,0.181,0.17500000000000002,0.169,0.138,0.132,0.126,0.121,0.116,0.111,0.106,0.101,0.096,0.091,0.08700000000000001,0.082,0.078,0.074,0.07,0.066,0.062,0.059000000000000004,0.055,0.052000000000000005,0.049,0.045,0.042,0.04,0.037,0.034,0.031,0.029,0.028,0.024,0.022,0.021,0.018000000000000002,0.016,0.015,0.014,0.012,0.011,0.011,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001
